feature,scope,ticker,horizon,q1_n,q1_mean,q1_hac_t,q5_n,q5_mean,q5_hac_t,q5_minus_q1_mean
iv_percentile_20d,pooled,ALL,1,81,-0.00018263109027262097,-0.12862197489515376,59,0.005591376720515492,2.8075840694438337,0.005774007810788113
iv_percentile_20d,pooled,ALL,3,80,0.0009958065538346287,0.2758025595611296,59,0.008685442409265226,2.5511862784407797,0.007689635855430597
iv_percentile_20d,pooled,ALL,5,78,0.00105580896189408,0.19241801870986078,59,0.0067777081628084416,1.1040241563108706,0.0057218992009143614
iv_percentile_20d,pooled,ALL,10,78,-0.005464860198721932,-0.7058525402023872,45,0.006195801579896831,0.49868174591859116,0.011660661778618762
iv_percentile_20d,pooled,ALL,20,62,0.0017889927266511192,0.14015416374536604,39,0.0012398859253928197,0.10207025863633265,-0.0005491068012582995
iv_percentile_60d,pooled,ALL,1,76,-0.000508519511652587,-0.3140264018605272,71,0.0013697467046045464,0.5657229866136924,0.0018782662162571333
iv_percentile_60d,pooled,ALL,3,75,-0.0016494580721584547,-0.5026185410197551,71,-0.003759412727126232,-0.7658267194253723,-0.002109954654967777
iv_percentile_60d,pooled,ALL,5,72,-0.003290053896094877,-0.7689943643200724,71,-0.006206326957328929,-0.8336161247868934,-0.0029162730612340517
iv_percentile_60d,pooled,ALL,10,71,-0.009483598961413424,-2.250513927299417,66,-0.00661142386639254,-0.5856217334514071,0.0028721750950208838
iv_percentile_60d,pooled,ALL,20,52,-0.0063939290135126454,-0.7879477197630581,58,-0.012437456193760646,-0.6866318148390484,-0.0060435271802480005
iv_percentile_126d,pooled,ALL,1,77,-0.0002591275093562603,-0.16130793060002355,72,-0.00020853794027681568,-0.07878841591583685,5.058956907944462e-05
iv_percentile_126d,pooled,ALL,3,76,-0.000720705030942085,-0.20934656110584812,72,-0.0029111023820839236,-0.5120361348325169,-0.0021903973511418384
iv_percentile_126d,pooled,ALL,5,71,-0.0028400385353490047,-0.6933411936364849,71,-0.005152073094979828,-0.5995369725484517,-0.002312034559630823
iv_percentile_126d,pooled,ALL,10,70,-0.005370236239183542,-1.0912282481955824,66,-0.006844732197088133,-0.442385622457658,-0.0014744959579045909
iv_percentile_126d,pooled,ALL,20,46,-0.005362823247861171,-0.49515536179047154,60,-0.012449703762907612,-0.6124355383192492,-0.007086880515046441
iv_percentile_252d,pooled,ALL,1,77,0.00011287170266593693,0.1035056794264559,71,0.00033495794769166417,0.12067704595048424,0.00022208624502572722
iv_percentile_252d,pooled,ALL,3,75,-0.0019731607530158748,-0.8836808455021004,71,-0.0030947878165271544,-0.4919374224654936,-0.0011216270635112796
iv_percentile_252d,pooled,ALL,5,68,-0.006341801962254751,-2.8028945064644093,71,-0.00417927467760696,-0.44746813879383046,0.0021625272846477906
iv_percentile_252d,pooled,ALL,10,66,-0.010842062311218514,-2.8835922535376146,66,-0.007713043190422254,-0.4719025634160497,0.0031290191207962604
iv_percentile_252d,pooled,ALL,20,45,-0.01944071541458446,-2.62304572780041,66,-0.011319146988751999,-0.61567893592691,0.008121568425832462
